treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,exposure,coral_dead,coral_live,encrusting_brown_algae,filamentous_algae,turf_algae,CCA,worm,detritus,bare_tile
zscopas,1,kenti,3,16,l,1,0,2,0,22,0,18,0,12,46
zscopas,1,millepora,1,19,i,1,0,4,0,24,0,10,0,4,58
zscopas,1,millepora,2,48,g,1,0,0,0,20,0,12,0,26,42
zscopas,1,millepora,3,24,p,1,0,0,2,40,34,4,2,8,10
zscopas,1,millepora,4,17,j,1,0,0,0,14,8,2,2,30,44
zscopas,2,goniastrea,1,13,a,1,0,0,0,24,0,12,0,6,58
zscopas,2,kenti,1,31,j,1,0,0,0,8,0,18,0,6,68
zscopas,2,kenti,2,16,e,1,0,0,0,28,0,8,2,12,50
zscopas,2,kenti,3,33,e,1,0,0,0,44,2,18,0,2,34
zscopas,2,millepora,1,50,e,1,0,2,0,32,0,16,0,8,42
zscopas,2,millepora,2,50,f,1,0,0,0,56,0,8,0,10,26
zscopas,2,millepora,3,17,z,1,0,6,0,12,0,8,0,16,58
zscopas,2,millepora,4,48,e,1,0,0,0,66,2,2,0,10,20
zscopas,3,goniastrea,1,6,f,1,0,0,0,0,0,12,0,4,84
zscopas,3,kenti,1,4,d,1,2,0,0,8,0,8,0,16,66
zscopas,3,kenti,2,1,f,1,0,0,0,12,0,14,0,2,72
zscopas,3,kenti,3,4,f,1,0,2,2,8,0,12,0,6,70
zscopas,3,millepora,1,26,g,1,0,0,0,28,0,8,0,18,46
zscopas,3,millepora,2,24,h,1,0,2,0,24,0,10,2,16,46
zscopas,3,millepora,3,48,c,1,6,0,0,12,0,8,0,20,54
zscopas,3,millepora,4,17,h,1,0,0,0,16,0,12,2,28,42
zscopas,4,goniastrea,1,6,b,1,0,0,0,12,0,12,0,2,74
zscopas,4,kenti,1,33,d,1,2,2,0,0,0,0,0,6,90
zscopas,4,kenti,2,16,a,1,0,2,0,22,0,14,0,6,56
zscopas,4,kenti,3,16,q,1,0,2,0,6,0,20,2,2,68
zscopas,4,millepora,1,50,a,1,0,2,0,20,0,22,0,0,56
zscopas,4,millepora,2,18,l,1,0,0,0,42,0,4,0,2,52
zscopas,4,millepora,3,19,d,1,0,2,0,22,0,10,0,6,60
zscopas,4,millepora,4,19,j,1,0,0,0,8,0,8,0,10,74
